Order_ID,Grid_ID,OrderTime,OrderType,OrderPrice,OrderQuantity,OrderLeverage,OrderTakeProfit,OrderStopLoss,OrderStatus,OrderJustif
1,1,1511776922000.0,BUY,9251.55,0.001,1,0.01,0.005,open,init
2,1,1511776922000.0,SELL,9438.45,0.001,1,0.01,0.005,open,init
3,2,1511777745000.0,BUY,9157.509900000001,0.001,1,0.01,0.005,open,init
4,2,1511777745000.0,SELL,9342.5101,0.001,1,0.01,0.005,open,init
5,3,1511780160000.0,BUY,9252.5301,0.001,1,0.01,0.005,open,init
6,3,1511780160000.0,SELL,9439.4499,0.001,1,0.01,0.005,open,init
7,4,1511784725000.0,BUY,9346.5306,0.001,1,0.01,0.005,open,init
8,4,1511784725000.0,SELL,9535.349400000001,0.001,1,0.01,0.005,open,init
9,5,1511790246000.0,BUY,9454.5,0.001,1,0.01,0.005,open,init
10,5,1511790246000.0,SELL,9645.5,0.001,1,0.01,0.005,open,init
11,6,1511791289000.0,BUY,9350.253,0.001,1,0.01,0.005,open,init
12,6,1511791289000.0,SELL,9539.147,0.001,1,0.01,0.005,open,init
13,7,1511795355000.0,BUY,9444.996,0.001,1,0.01,0.005,open,init
14,7,1511795355000.0,SELL,9635.804,0.001,1,0.01,0.005,open,init
15,8,1511798182000.0,BUY,9543.5901,0.001,1,0.01,0.005,open,init
16,8,1511798182000.0,SELL,9736.3899,0.001,1,0.01,0.005,open,init
17,9,1511802407000.0,BUY,9447.8274,0.001,1,0.01,0.005,open,init
18,9,1511802407000.0,SELL,9638.6926,0.001,1,0.01,0.005,open,init
19,10,1511806736000.0,BUY,9349.6293,0.001,1,0.01,0.005,open,init
20,10,1511806736000.0,SELL,9538.510699999999,0.001,1,0.01,0.005,open,init
21,11,1511808296000.0,BUY,9451.886400000001,0.001,1,0.01,0.005,open,init
22,11,1511808296000.0,SELL,9642.8336,0.001,1,0.01,0.005,open,init
23,12,1511812846000.0,BUY,9355.509900000001,0.001,1,0.01,0.005,open,init
24,12,1511812846000.0,SELL,9544.5101,0.001,1,0.01,0.005,open,init
25,13,1511812953000.0,BUY,9493.407,0.001,1,0.01,0.005,open,init
26,13,1511812953000.0,SELL,9685.193,0.001,1,0.01,0.005,open,init
27,14,1511814629000.0,BUY,9363.449700000001,0.001,1,0.01,0.005,open,init
28,14,1511814629000.0,SELL,9552.6103,0.001,1,0.01,0.005,open,init
29,15,1511826483000.0,BUY,9459.4401,0.001,1,0.01,0.005,open,init
30,15,1511826483000.0,SELL,9650.5399,0.001,1,0.01,0.005,open,init
