id,timestamp,entryprice,qty,is_buy,signe_buy,leverage,take_profit,stop_loss,state,justif,close_price,crypto_balance,money_balance
0,1502945028000.0,4310.07,100,False,-1,1,0.01,0.005,Opening,Opening,-1,134.6602588771976,1431007.0
0,1502945028000.0,4310.07,100,False,-1,1,0.01,0.005,Closing,STOPLOSS SELL,4345.45,234.6602588771976,996462.0
1,1502957063000.0,4377.85,100,False,-1,1,0.01,0.005,Opening,Opening,-1,134.6602588771976,1434247.0
2,1502957094000.0,4333.32,100,True,1,1,0.01,0.005,Opening,Opening,-1,234.6602588771976,1000915.0
1,1502957063000.0,4377.85,100,False,-1,1,0.01,0.005,Closing,TAKEPROFIT BUY,4333.32,334.66025887719763,567583.0
3,1502957124000.0,4377.85,100,False,-1,1,0.01,0.005,Opening,Opening,-1,234.66025887719763,1005368.0
2,1502957094000.0,4333.32,100,True,1,1,0.01,0.005,Closing,TAKEPROFIT BUY,4377.85,134.66025887719763,1443153.0
3,1502957124000.0,4377.85,100,False,-1,1,0.01,0.005,Closing,STOPLOSS SELL,4400.0,234.66025887719763,1003153.0
4,1502962488000.0,4445.78,100,False,-1,1,0.01,0.005,Opening,Opening,-1,134.66025887719763,1447731.0
5,1502964388000.0,4400.0,100,True,1,1,0.01,0.005,Opening,Opening,-1,234.66025887719763,1007731.0
4,1502962488000.0,4445.78,100,False,-1,1,0.01,0.005,Closing,TAKEPROFIT BUY,4400.0,334.66025887719763,567731.0
6,1502966905000.0,4450.0,100,False,-1,1,0.01,0.005,Opening,Opening,-1,234.66025887719763,1012731.0
5,1502964388000.0,4400.0,100,True,1,1,0.01,0.005,Closing,TAKEPROFIT BUY,4450.0,134.66025887719763,1457731.0
6,1502966905000.0,4450.0,100,False,-1,1,0.01,0.005,Closing,STOPLOSS SELL,4474.8,234.66025887719763,1010251.0
7,1502984076000.0,4399.64,100,True,1,1,0.01,0.005,Opening,Opening,-1,334.66025887719763,570287.0
7,1502984076000.0,4399.64,100,True,1,1,0.01,0.005,Closing,STOPLOSS BUY,4376.49,234.66025887719763,1007936.0
8,1502985504000.0,4352.34,100,True,1,1,0.01,0.005,Opening,Opening,-1,334.66025887719763,572702.0
8,1502985504000.0,4352.34,100,True,1,1,0.01,0.005,Closing,STOPLOSS BUY,4314.5,234.66025887719763,1004152.0
9,1502985975000.0,4305.38,100,True,1,1,0.01,0.005,Opening,Opening,-1,334.66025887719763,573614.0
10,1502986099000.0,4261.32,100,True,1,1,0.01,0.005,Opening,Opening,-1,434.66025887719763,147482.0
9,1502985975000.0,4305.38,100,True,1,1,0.01,0.005,Closing,STOPLOSS BUY,4261.32,334.66025887719763,573614.0
11,1502986310000.0,4339.85,100,False,-1,1,0.01,0.005,Opening,Opening,-1,234.66025887719763,1007599.0
10,1502986099000.0,4261.32,100,True,1,1,0.01,0.005,Closing,TAKEPROFIT BUY,4339.85,134.66025887719763,1441584.0
12,1502986311000.0,4290.75,100,True,1,1,0.01,0.005,Opening,Opening,-1,234.66025887719763,1012509.0
11,1502986310000.0,4339.85,100,False,-1,1,0.01,0.005,Closing,TAKEPROFIT BUY,4290.75,334.66025887719763,583434.0
12,1502986311000.0,4290.75,100,True,1,1,0.01,0.005,Closing,STOPLOSS BUY,4265.87,234.66025887719763,1010021.0
13,1502987206000.0,4336.69,100,False,-1,1,0.01,0.005,Opening,Opening,-1,134.66025887719763,1443690.0
14,1502987316000.0,4290.17,100,True,1,1,0.01,0.005,Opening,Opening,-1,234.66025887719763,1014673.0
13,1502987206000.0,4336.69,100,False,-1,1,0.01,0.005,Closing,TAKEPROFIT BUY,4290.17,334.66025887719763,585656.0
15,1502987513000.0,4337.29,100,False,-1,1,0.01,0.005,Opening,Opening,-1,234.66025887719763,1019385.0
14,1502987316000.0,4290.17,100,True,1,1,0.01,0.005,Closing,TAKEPROFIT BUY,4337.29,134.66025887719763,1453114.0
16,1502992560000.0,4286.52,100,True,1,1,0.01,0.005,Opening,Opening,-1,234.66025887719763,1024462.0
