id,timestamp,entryprice,qty,is_buy,signe_buy,leverage,take_profit,stop_loss,state,justif,close_price,crypto_balance,money_balance
0,1511776922000,9251.55,0.1,True,1,1,0.01,0.005,Opening,Opening,-1,0.20700909577314072,74.84500000000003
1,1511777745000,9342.5101,0.1,False,-1,1,0.01,0.005,Opening,Opening,-1,0.10700909577314072,1009.09601
0,1511777745000,9251.55,0.1,True,1,1,0.01,0.005,Closing,TAKEPROFIT BUY,9344.065499999999,0.10700909577314072,1009.09601
1,1511779334000,9342.5101,0.1,False,-1,1,0.01,0.005,Closing,STOPLOSS SELL,9389.222650499998,0.10700909577314072,1009.09601
2,1511780160000,9439.4499,0.1,False,-1,1,0.01,0.005,Opening,Opening,-1,0.007009095773140711,1953.041
2,1511780692000,9439.4499,0.1,False,-1,1,0.01,0.005,Closing,STOPLOSS SELL,9486.647149499999,0.007009095773140711,1953.041
3,1511784725000,9535.349400000001,0.1,False,-1,1,0.01,0.005,Opening,Opening,-1,-0.0929909042268593,2906.57594
3,1511788952000,9535.349400000001,0.1,False,-1,1,0.01,0.005,Closing,STOPLOSS SELL,9583.026147,-0.0929909042268593,2906.57594
4,1511790246000,9454.5,0.1,True,1,1,0.01,0.005,Opening,Opening,-1,0.007009095773140711,1961.1259400000001
5,1511791289000,9539.147,0.1,False,-1,1,0.01,0.005,Opening,Opening,-1,-0.0929909042268593,2915.04064
4,1511793422000,9454.5,0.1,True,1,1,0.01,0.005,Closing,TAKEPROFIT BUY,9549.045,-0.0929909042268593,2915.04064
5,1511794093000,9539.147,0.1,False,-1,1,0.01,0.005,Closing,STOPLOSS SELL,9586.842735,-0.0929909042268593,2915.04064
6,1511795355000,9635.804,0.1,False,-1,1,0.01,0.005,Opening,Opening,-1,-0.1929909042268593,3878.62104
7,1511798182000,9543.5901,0.1,True,1,1,0.01,0.005,Opening,Opening,-1,-0.0929909042268593,2924.26203
6,1511800796000,9635.804,0.1,False,-1,1,0.01,0.005,Closing,TAKEPROFIT SELL,9539.44596,-0.0929909042268593,2924.26203
7,1511800923000,9543.5901,0.1,True,1,1,0.01,0.005,Closing,STOPLOSS BUY,9495.872149499999,-0.0929909042268593,2924.26203
8,1511802407000,9447.8274,0.1,True,1,1,0.01,0.005,Opening,Opening,-1,0.007009095773140711,1979.4792899999998
8,1511803562000,9447.8274,0.1,True,1,1,0.01,0.005,Closing,STOPLOSS BUY,9400.588263,0.007009095773140711,1979.4792899999998
9,1511806736000,9538.510699999999,0.1,False,-1,1,0.01,0.005,Opening,Opening,-1,-0.0929909042268593,2933.33036
10,1511808296000,9451.886400000001,0.1,True,1,1,0.01,0.005,Opening,Opening,-1,0.007009095773140711,1988.1417199999996
9,1511808348000,9538.510699999999,0.1,False,-1,1,0.01,0.005,Closing,TAKEPROFIT SELL,9443.125592999999,0.007009095773140711,1988.1417199999996
11,1511812846000,9544.5101,0.1,False,-1,1,0.01,0.005,Opening,Opening,-1,-0.0929909042268593,2942.5927299999994
10,1511812846000,9451.886400000001,0.1,True,1,1,0.01,0.005,Closing,TAKEPROFIT BUY,9546.405264,-0.0929909042268593,2942.5927299999994
12,1511812953000,9493.407,0.1,True,1,1,0.01,0.005,Opening,Opening,-1,0.007009095773140711,1993.2520299999994
13,1511814629000,9552.6103,0.1,False,-1,1,0.01,0.005,Opening,Opening,-1,-0.0929909042268593,2948.5130599999993
12,1511815450000,9493.407,0.1,True,1,1,0.01,0.005,Closing,TAKEPROFIT BUY,9588.341069999999,-0.0929909042268593,2948.5130599999993
11,1511817218000,9544.5101,0.1,False,-1,1,0.01,0.005,Closing,STOPLOSS SELL,9592.232650499998,-0.0929909042268593,2948.5130599999993
13,1511817290000,9552.6103,0.1,False,-1,1,0.01,0.005,Closing,STOPLOSS SELL,9600.373351499999,-0.0929909042268593,2948.5130599999993
