Position_ID,OrderId,Grid_ID,EventData_Time,BackTest_ID,EventCode,PositionQty,PositionEntryPrice,PositionClosePrice,ActualPrice,CryptoBalance,MoneyBalance
0,1,1,1511776922000,1,OPEN BUY,0.1,9251.55,-1,9250.01,0.20700909577314072,74.84500000000003
1,4,2,1511777745000,1,OPEN SELL,0.1,9342.5101,-1,9345.99,0.10700909577314072,1009.09601
0,null,3,1511777745000,1,TAKEPROFIT BUY,0.1,9251.55,9344.065499999999,9345.99,0.10700909577314072,1009.09601
1,null,3,1511779334000,1,STOPLOSS SELL,0.1,9342.5101,9389.222650499998,9350.0,0.10700909577314072,1009.09601
2,6,3,1511780160000,1,OPEN SELL,0.1,9439.4499,-1,9440.94,0.007009095773140711,1953.041
2,null,4,1511780692000,1,STOPLOSS SELL,0.1,9439.4499,9486.647149499999,9494.42,0.007009095773140711,1953.041
3,8,4,1511784725000,1,OPEN SELL,0.1,9535.349400000001,-1,9550.0,-0.0929909042268593,2906.57594
3,null,5,1511788952000,1,STOPLOSS SELL,0.1,9535.349400000001,9583.026147,9580.29,-0.0929909042268593,2906.57594
4,9,5,1511790246000,1,OPEN BUY,0.1,9454.5,-1,9444.7,0.007009095773140711,1961.1259400000001
5,12,6,1511791289000,1,OPEN SELL,0.1,9539.147,-1,9540.4,-0.0929909042268593,2915.04064
4,null,7,1511793422000,1,TAKEPROFIT BUY,0.1,9454.5,9549.045,9553.78,-0.0929909042268593,2915.04064
5,null,7,1511794093000,1,STOPLOSS SELL,0.1,9539.147,9586.842735,9580.3,-0.0929909042268593,2915.04064
6,14,7,1511795355000,1,OPEN SELL,0.1,9635.804,-1,9639.99,-0.1929909042268593,3878.62104
7,15,8,1511798182000,1,OPEN BUY,0.1,9543.5901,-1,9543.26,-0.0929909042268593,2924.26203
6,null,9,1511800796000,1,TAKEPROFIT SELL,0.1,9635.804,9539.44596,9540.99,-0.0929909042268593,2924.26203
7,null,9,1511800923000,1,STOPLOSS BUY,0.1,9543.5901,9495.872149499999,9494.42,-0.0929909042268593,2924.26203
8,17,9,1511802407000,1,OPEN BUY,0.1,9447.8274,-1,9444.07,0.007009095773140711,1979.4792899999998
8,null,10,1511803562000,1,STOPLOSS BUY,0.1,9447.8274,9400.588263,9400.07,0.007009095773140711,1979.4792899999998
9,20,10,1511806736000,1,OPEN SELL,0.1,9538.510699999999,-1,9547.36,-0.0929909042268593,2933.33036
10,21,11,1511808296000,1,OPEN BUY,0.1,9451.886400000001,-1,9450.01,0.007009095773140711,1988.1417199999996
9,null,12,1511808348000,1,TAKEPROFIT SELL,0.1,9538.510699999999,9443.125592999999,9438.73,0.007009095773140711,1988.1417199999996
11,24,12,1511812846000,1,OPEN SELL,0.1,9544.5101,-1,9589.3,-0.0929909042268593,2942.5927299999994
10,null,13,1511812846000,1,TAKEPROFIT BUY,0.1,9451.886400000001,9546.405264,9589.3,-0.0929909042268593,2942.5927299999994
12,25,13,1511812953000,1,OPEN BUY,0.1,9493.407,-1,9458.03,0.007009095773140711,1993.2520299999994
13,28,14,1511814629000,1,OPEN SELL,0.1,9552.6103,-1,9554.99,-0.0929909042268593,2948.5130599999993
12,null,15,1511815450000,1,TAKEPROFIT BUY,0.1,9493.407,9588.341069999999,9589.3,-0.0929909042268593,2948.5130599999993
11,null,15,1511817218000,1,STOPLOSS SELL,0.1,9544.5101,9592.232650499998,9590.98,-0.0929909042268593,2948.5130599999993
13,null,15,1511817290000,1,STOPLOSS SELL,0.1,9552.6103,9600.373351499999,9600.03,-0.0929909042268593,2948.5130599999993
